Brain_FA	ATAC	QY_1463_2_S7_L005_Arl_RMmit_RDup.bed
Brain_FB	ATAC	QY_1464_2_S8_L005_Arl_RMmit_RDup.bed
Liver_FA	ATAC	QY_1158_2_S1_L005_Arl_RMmit_RDup.bed
Liver_FB	ATAC	QY_1462_2_S6_L005_Arl_RMmit_RDup.bed
Spleen_FA	ATAC	QY_1461_3_S22_L002_Arl_RMmit_RDup.bed
Spleen_FB	ATAC	QY_1159_2_S2_L005_Arl_RMmit_RDup.bed
Brain_FA	H3K27ac	H3K27ac_Brain_FAsorted_PCRDup.bed	Input_Brain_FAsorted_PCRDup.bed
Brain_FB	H3K27ac	H3K27ac_Brain_FBsorted_PCRDup.bed	Input_Brain_FBsorted_PCRDup.bed
Intestine_FA	H3K27ac	H3K27ac_Intestine_FAsorted_PCRDup.bed	Input_Intestine_FAsorted_PCRDup.bed
Intestine_FB	H3K27ac	H3K27ac_Intestine_FBsorted_PCRDup.bed	Input_Intestine_FBsorted_PCRDup.bed
Kidney_FA	H3K27ac	H3K27ac_Kidney_FAsorted_PCRDup.bed	Input_Kidney_FAsorted_PCRDup.bed
Kidney_FB	H3K27ac	H3K27ac_Kidney_FBsorted_PCRDup.bed	Input_Kidney_FBsorted_PCRDup.bed
Liver_FA	H3K27ac	H3K27ac_Liver_FAsorted_PCRDup.bed	Input_Liver_FAsorted_PCRDup.bed
Liver_FB	H3K27ac	H3K27ac_Liver_FBsorted_PCRDup.bed	Input_Liver_FBsorted_PCRDup.bed
Spleen_FA	H3K27ac	H3K27ac_Spleen_FAsorted_PCRDup.bed	Input_Spleen_FAsorted_PCRDup.bed
Spleen_FB	H3K27ac	H3K27ac_Spleen_FBsorted_PCRDup.bed	Input_Spleen_FBsorted_PCRDup.bed
WhiteMuscle_FA	H3K27ac	H3K27ac_WhiteMuscle_FAsorted_PCRDup.bed	Input_WhiteMuscle_FAsorted_PCRDup.bed
WhiteMuscle_FB	H3K27ac	H3K27ac_WhiteMuscle_FBsorted_PCRDup.bed	Input_WhiteMuscle_FBsorted_PCRDup.bed
Brain_FA	H3K27me3	H3K27me3_Brain_FAsorted_PCRDup.bed	Input_Brain_FAsorted_PCRDup.bed
Brain_FB	H3K27me3	H3K27me3_Brain_FBsorted_PCRDup.bed	Input_Brain_FBsorted_PCRDup.bed
Intestine_FA	H3K27me3	H3K27me3_Intestine_FAsorted_PCRDup.bed	Input_Intestine_FAsorted_PCRDup.bed
Intestine_FB	H3K27me3	H3K27me3_Intestine_FBsorted_PCRDup.bed	Input_Intestine_FBsorted_PCRDup.bed
Kidney_FA	H3K27me3	H3K27me3_Kidney_FAsorted_PCRDup.bed	Input_Kidney_FAsorted_PCRDup.bed
Kidney_FB	H3K27me3	H3K27me3_Kidney_FBsorted_PCRDup.bed	Input_Kidney_FBsorted_PCRDup.bed
Liver_FA	H3K27me3	H3K27me3_Liver_FAsorted_PCRDup.bed	Input_Liver_FAsorted_PCRDup.bed
Liver_FB	H3K27me3	H3K27me3_Liver_FBsorted_PCRDup.bed	Input_Liver_FBsorted_PCRDup.bed
Spleen_FA	H3K27me3	H3K27me3_Spleen_FAsorted_PCRDup.bed	Input_Spleen_FAsorted_PCRDup.bed
Spleen_FB	H3K27me3	H3K27me3_Spleen_FBsorted_PCRDup.bed	Input_Spleen_FBsorted_PCRDup.bed
WhiteMuscle_FA	H3K27me3	H3K27me3_WhiteMuscle_FAsorted_PCRDup.bed	Input_WhiteMuscle_FAsorted_PCRDup.bed
WhiteMuscle_FB	H3K27me3	H3K27me3_WhiteMuscle_FBsorted_PCRDup.bed	Input_WhiteMuscle_FBsorted_PCRDup.bed
Brain_FA	H3K4me1	H3K4me1_Brain_FAsorted_PCRDup.bed	Input_Brain_FAsorted_PCRDup.bed
Brain_FB	H3K4me1	H3K4me1_Brain_FBsorted_PCRDup.bed	Input_Brain_FBsorted_PCRDup.bed
Intestine_FA	H3K4me1	H3K4me1_Intestine_FAsorted_PCRDup.bed	Input_Intestine_FAsorted_PCRDup.bed
Intestine_FB	H3K4me1	H3K4me1_Intestine_FBsorted_PCRDup.bed	Input_Intestine_FBsorted_PCRDup.bed
Kidney_FA	H3K4me1	H3K4me1_Kidney_FAsorted_PCRDup.bed	Input_Kidney_FAsorted_PCRDup.bed
Kidney_FB	H3K4me1	H3K4me1_Kidney_FBsorted_PCRDup.bed	Input_Kidney_FBsorted_PCRDup.bed
Liver_FA	H3K4me1	H3K4me1_Liver_FAsorted_PCRDup.bed	Input_Liver_FAsorted_PCRDup.bed
Liver_FB	H3K4me1	H3K4me1_Liver_FBsorted_PCRDup.bed	Input_Liver_FBsorted_PCRDup.bed
Spleen_FA	H3K4me1	H3K4me1_Spleen_FAsorted_PCRDup.bed	Input_Spleen_FAsorted_PCRDup.bed
Spleen_FB	H3K4me1	H3K4me1_Spleen_FBsorted_PCRDup.bed	Input_Spleen_FBsorted_PCRDup.bed
WhiteMuscle_FA	H3K4me1	H3K4me1_WhiteMuscle_FAsorted_PCRDup.bed	Input_WhiteMuscle_FAsorted_PCRDup.bed
WhiteMuscle_FB	H3K4me1	H3K4me1_WhiteMuscle_FBsorted_PCRDup.bed	Input_WhiteMuscle_FBsorted_PCRDup.bed
Brain_FA	H3K4me3	H3K4me3_Brain_FAsorted_PCRDup.bed	Input_Brain_FAsorted_PCRDup.bed
Brain_FB	H3K4me3	H3K4me3_Brain_FBsorted_PCRDup.bed	Input_Brain_FBsorted_PCRDup.bed
Intestine_FA	H3K4me3	H3K4me3_Intestine_FAsorted_PCRDup.bed	Input_Intestine_FAsorted_PCRDup.bed
Intestine_FB	H3K4me3	H3K4me3_Intestine_FBsorted_PCRDup.bed	Input_Intestine_FBsorted_PCRDup.bed
Kidney_FA	H3K4me3	H3K4me3_Kidney_FAsorted_PCRDup.bed	Input_Kidney_FAsorted_PCRDup.bed
Kidney_FB	H3K4me3	H3K4me3_Kidney_FBsorted_PCRDup.bed	Input_Kidney_FBsorted_PCRDup.bed
